id dam sire
8887462 NA NA
8887472 8800440 8800376
8887474 8857401 8800376
8887475 8800375 8800376
8887477 8747940 8800376
8887478 NA NA
8887481 NA NA
8887484 F0045 M0045
8887486 8747534 8800046
8887488 F0065 8168702
8887490 8800937 8857215
8887495 NA NA
8904654 NA NA
8904657 NA NA
8904661 NA NA
8904683 F0002 M0002
8934027 NA 8866710
8934028 8887416 8800176
8934033 8800094 M0058
8934039 NA NA
8934040 NA 8887240
8934058 8732690 8747720
8934059 8747534 8887345
8934062 8732690 8747720
8934064 F0055 M0053
8934066 8934373 8866786
8934069 8887439 M0173
8934070 NA NA
8934072 NA 8800046
8934073 NA NA
8934075 8866789 8857405
8934077 8747799 8730493
8934087 8857237 M0174
8934089 8800550 8857405
8934090 NA NA
8934095 8857208 8800376
8934214 F0053 M0019
8934215 F0053 M0019
8934216 8747604 8800376
8934217 8800375 8887379
8934219 8857208 8887379
8934224 8857401 8747941
8934225 8887472 8887210
8934227 8800937 8747551
8934228 8887490 8857278
8934231 NA NA
8934236 8934475 M0035
8934267 F0170 8651998
8934301 8800519 M0161
8934302 F0055 M0053
8934304 8887277 8887278
8934311 F0171 8800510
8934313 8800468 8730584
8934326 F0084 M0175
8934329 8934355 8800436
8934333 8866741 M0176
8934338 8747553 8857284
8934339 8747553 8747552
8934343 8887360 M0177
8934353 NA 8887440
8934354 F0043 M0042
8934355 F0043 M0042
8934363 8934311 8943121
8934364 8934311 8943121
8934367 8887230 8887281
8934368 8887230 8800046
8934369 8800574 8887233
8934373 8747760 M0120
8934374 8800574 8887233
8934375 8800521 8800357
8934376 8800428 NA
8934380 NA NA
8934385 F0163 M0129
8934386 F0163 M0129
8934392 F0014 M0129
8934393 F0014 M0147
8934395 8934875 M0019
8934398 F0030 M0027
8934399 F0030 M0027
8934400 8887291 8887423
8934426 NA NA
8934451 NA NA
8934458 8747940 8800376
8934459 8800372 8800371
8934460 8794305 8747698
8934462 NA M0019
8934471 NA M0150
8934472 NA NA
8934473 NA NA
8934474 NA NA
8934475 NA NA
8934481 NA NA
8934484 NA M0065
8934489 F0175 M0227
8934497 8747604 8800371
8934498 8747604 8800371
8934499 8857401 8747941
8934501 8857401 8800376
8934514 8934311 8943121
8934532 8800104 8857285
8934534 8800935 M0121
8934537 8800935 M0121
8934542 8934302 8887226
8934547 8800417 8866754
8934559 8747940 M0178
8934565 8943080 NA
8934585 F0014 M0129
8934588 F0030 M0027
8934596 8800936 8747551
8934600 8887474 8887373
8934801 F0020 M0018
8934805 8800090 8800175
8934806 F0051 M0051
8934808 F0051 M0051
8934813 8934426 NA
8934820 NA NA
8934823 NA M0129
8934828 F0071 M0129
8934854 8794305 8800371
8934855 8794305 8800371
8934867 F0037 8887035
8934868 F0037 M0036
8934869 F0037 M0036
8934871 NA NA
8934875 NA M0129
8934876 F0128 M0079
8934879 F0128 M0129
8934880 F0128 M0079
8934881 NA M0079
8934883 8934472 8934473
8934884 8934474 NA
8934885 8934474 M0126
8934886 8934474 M0126
8934893 8934313 8800615
8934895 8934313 8800615
8934899 F0106 8747871
8939024 8887370 8887279
8939028 NA NA
8939034 8939603 8887345
8939037 8800440 8800376
8939038 8887472 8887210
8939040 8168614 8800436
8939042 8168614 M0146
8939043 8168614 M0146
8939045 NA NA
8939047 F0084 8887324
8939052 NA NA
8939054 NA M0103
8939056 NA NA
8939059 F0067 M0068
8939076 F0105 M0109
8939085 F0150 8732659
8939086 8943023 8800469
8939088 8857208 8800376
8939091 F0125 8934559
8939092 NA NA
8939093 F0015 M0013
8939095 8887406 8857278
8939097 8887360 8934537
8939101 NA 8934329
8939106 F0042 M0041
8939107 F0042 M0041
8939113 8800935 M0121
8939117 8887406 8887399
8939118 8857276 8857284
8939119 8887360 8934339
8939121 8887206 8747936
8939122 NA NA
8939124 8887206 8747936
8939125 8943039 M0034
8939131 F0153 8943743
8939137 8747900 8747729
8939139 8887360 8934339
8939140 8887406 8887399
8939141 8857276 8857284
8939150 8857208 8800376
8939151 8857208 8800376
8939157 8943735 8943892
8939158 F0119 8857767
8939159 F0119 8887345
8939163 NA NA
8939164 8800090 8857752
8939175 8934374 8887448
8939180 8939603 8887345
8939181 NA 8857230
8939184 NA NA
8939192 8934373 8943009
8939195 NA M0173
8939196 NA NA
8939197 8934267 8934073
8939199 F0161 8934368
8939344 8934077 M0102
8939345 F0105 M0109
8939352 NA NA
8939353 8934267 8934073
8939359 NA NA
8939360 F0034 M0033
8939367 NA NA
8939377 NA NA
8939391 8857205 8887344
8939392 8800196 8943736
8939416 8887422 M0019
8939419 8943473 8934869
8939422 F0118 8943758
8939425 8943475 NA
8939427 NA NA
8939429 F0009 M0008
8939431 8800375 8800376
8939441 NA 8943756
8939442 F0128 M0129
8939443 F0067 M0068
8939457 8939442 M0075
8939460 8939442 M0075
8939462 F0172 8887423
8939465 8943484 8934514
8939475 NA NA
8939491 F0006 M0005
8939492 NA NA
8939494 F0106 8747871
8939495 NA NA
8939498 8934472 M0019
8939506 8800417 8866754
8939519 8943083 8939122
8939521 8943083 8939122
8939524 8943066 8857278
8939525 8943066 8857278
8939526 8887266 8943801
8939533 8857754 8939607
8939534 8857754 8939607
8939535 8857754 8939607
8939538 8934373 8943009
8939539 8934373 8943009
8939542 8934373 8943009
8939544 8934400 M0226
8939551 8934040 8887462
8939555 8943129 8747936
8939561 8934899 8887385
8939562 F0102 8943141
8939569 8939163 8866710
8939574 NA NA
8939578 8934451 8887238
8939579 8934451 8887238
8939582 8747553 8943110
8939584 8939024 M0082
8939590 8943829 M0179
8939594 F0003 M0003
8939595 F0003 M0003
8939602 8939181 8934058
8939603 NA NA
8939605 8800417 8866754
8939607 8747764 M0180
8939608 F0094 8730584
8939610 8857202 M0132
8939611 8857202 M0132
8939613 8887205 8866745
8939615 NA NA
8939617 NA NA
8939619 8857205 M0084
8939622 8943064 8887267
8939627 8934893 8943009
8939629 NA NA
8939630 NA NA
8939631 F0125 8934559
8939632 F0125 8934559
8939633 8943039 M0034
8939704 8857780 8800436
8939705 8800090 8857752
8939706 8934028 8887484
8939718 F0173 8887240
8939726 8934355 8887484
8939728 F0149 8939629
8939733 F0034 M0033
8939743 8934879 NA
8939745 F0161 8934368
8939746 8939052 8934089
8939747 8943894 M0102
8939748 8887370 8887279
8939749 F0149 8800517
8939750 8887370 8887279
8939762 8857205 8887344
8939763 8857205 8887344
8939764 F0174 M0084
8939768 NA NA
8939769 F0062 M0062
8939773 F0062 M0062
8939804 F0036 M0035
8939805 F0036 M0035
8939806 8943474 M0149
8939807 8943474 M0149
8939815 8939442 M0075
8939816 8939442 M0075
8939818 F0019 M0017
8939819 F0019 M0017
8939821 8904661 M0063
8939824 NA NA
8939872 8934875 8934473
8939874 8934481 M0065
8939875 8934481 M0065
8939876 8934481 M0065
8939897 8887368 8887342
8939898 8887368 8887342
8939899 8887368 8887342
8943003 F0175 8887319
8943009 8934376 8857230
8943012 8887490 8857278
8943013 8800937 8857215
8943014 NA NA
8943023 8857754 8857767
8943024 8857754 8857767
8943025 8857754 8730584
8943039 NA NA
8943043 8887316 8747872
8943061 F0071 M0129
8943064 8887411 NA
8943066 8857276 8857284
8943067 8866773 8887357
8943080 8681101 8730979
8943082 8866752 8866751
8943083 8747982 8800042
8943103 8857276 8747551
8943105 8800935 M0121
8943106 8800935 M0121
8943109 8800936 8747551
8943110 8866773 8887357
8943113 8887451 8887346
8943121 8747222 8800614
8943125 8887283 8887249
8943129 8681054 8168709
8943135 F0006 M0005
8943141 8800416 8887341
8943142 NA NA
8943143 8934899 8887385
8943164 8887422 M0079
8943165 8887422 M0079
8943168 8800090 8800175
8943402 8800574 8887233
8943405 8800592 M0082
8943422 NA 8934876
8943424 F0036 M0035
8943426 F0036 M0035
8943429 8887291 M0051
8943438 F0037 8934484
8943458 F0102 8943141
8943459 F0102 8943141
8943469 8943761 M0078
8943470 8943761 M0078
8943473 NA M0019
8943474 F0053 M0019
8943475 F0068 M0069
8943484 8934474 M0126
8943485 NA NA
8943486 F0176 8800517
8943496 8934886 M0222
8943498 NA NA
8943549 F0093 8857946
8943578 8904661 M0063
8943580 8904661 M0063
8943587 F0068 M0069
8943733 NA NA
8943735 8800521 8800357
8943736 8800090 8800175
8943737 NA NA
8943743 8800094 M0058
8943752 F0177 8887349
8943753 8934471 8934473
8943754 8934471 8934473
8943756 8934475 M0035
8943758 NA 8887423
8943760 F0002 M0002
8943761 NA NA
8943762 NA NA
8943766 NA NA
8943767 8887422 M0079
8943797 F0135 8934884
8943801 8857276 8857284
8943802 8800936 8747551
8943803 8866773 8887357
8943805 NA NA
8943808 NA NA
8943814 NA NA
8943818 NA NA
8943829 NA NA
8943836 8800196 8800179
8943837 8800090 8800175
8943857 F0014 M0147
8943880 8800038 8857207
