ringnr natal.island adult.island disp hatch.year gen_sex
8934820 34 23 1 2003 1
8934823 23 23 0 2003 1
8934828 23 23 0 2003 1
8934867 23 23 0 2003 0
8934868 23 23 0 2003 0
8934869 23 24 1 2003 0
8934871 23 23 0 2003 0
8934876 24 24 0 2003 0
8934879 24 22 1 2003 1
8934881 24 24 0 2003 0
8934883 24 24 0 2003 1
8934884 24 23 1 2003 0
8934885 24 23 1 2003 0
8934886 24 24 0 2003 1
8939184 88 22 0 2003 1
8939442 88 24 0 2003 1
8943061 23 23 0 2003 0
8943164 24 24 0 2003 1
8943165 24 24 0 2003 0
8943473 88 24 0 2003 1
8943474 88 24 0 2003 1
8943475 20 23 1 2003 1
8943484 24 23 1 2003 1
8943753 24 24 0 2003 1
8943754 24 24 0 2003 0
8943756 24 24 0 2003 0
8943758 24 24 0 2003 0
8943760 20 24 1 2003 1
8943761 27 24 1 2003 1
8943762 26 24 1 2003 0
8943766 27 23 1 2003 0
8943767 24 23 1 2003 0
8943805 88 22 0 2003 1
8939092 38 38 0 2004 1
8939093 77 38 1 2004 0
8939095 38 38 0 2004 1
8939097 38 38 0 2004 1
8939113 38 38 0 2004 0
8939117 38 38 0 2004 0
8939119 38 38 0 2004 0
8939139 38 38 0 2004 1
8939140 38 38 0 2004 1
8939141 38 38 0 2004 1
8939427 34 38 1 2004 1
8939524 38 38 0 2004 1
8939525 38 38 0 2004 1
8939526 38 38 0 2004 1
8939582 38 38 0 2004 1
8981601 38 38 0 2004 0
8981604 38 38 0 2004 0
8981605 38 38 0 2004 1
8981606 28 38 1 2004 1
8981607 38 38 0 2004 1
8981608 28 38 1 2004 0
8981714 77 38 1 2004 1
8981715 38 38 0 2004 0
8981734 27 38 1 2004 1
8939040 28 28 0 2004 1
8939042 28 28 0 2004 1
8939043 28 28 0 2004 1
8939045 28 28 0 2004 1
8939047 28 28 0 2004 0
8939392 28 28 0 2004 1
8939542 27 28 1 2004 1
8939569 28 28 0 2004 0
8939574 28 28 0 2004 1
8939617 28 28 0 2004 1
8939622 28 28 0 2004 0
8939704 28 28 0 2004 1
8939706 28 28 0 2004 0
8939726 28 28 0 2004 1
8981318 28 28 0 2004 1
8981722 20 28 1 2004 0
8981803 77 28 1 2004 1
8981850 23 28 1 2004 0
8981920 77 28 1 2004 0
8939034 27 27 0 2004 1
8939076 27 27 0 2004 0
8939085 27 27 0 2004 0
8939086 27 27 0 2004 1
8939101 27 27 0 2004 0
8939137 27 27 0 2004 1
8939157 27 27 0 2004 1
8939158 27 27 0 2004 1
8939180 27 27 0 2004 1
8939195 27 27 0 2004 0
8939197 27 27 0 2004 1
8939199 27 27 0 2004 0
8939344 27 27 0 2004 0
8939345 27 27 0 2004 0
8939353 27 27 0 2004 0
