ringnr,hatchyear,lastyear,firstisland,lastisland,HelgelandSNPisland
8414567,1992,1993,28,28,1
8414568,1992,1993,28,28,1
8414569,1992,1993,28,28,1
8414570,1992,1993,28,28,1
8414571,1992,1993,27,27,1
8414572,1992,1994,27,27,1
8414573,1992,1994,27,27,1
8414574,1992,1995,27,27,1
8414575,1992,1994,27,27,1
8414576,1992,1996,27,27,1
8414577,1993,1993,27,27,1
8414578,1993,1993,27,27,1
8414579,1993,1993,27,27,1
8414580,1993,1993,27,27,1
8414581,1993,1993,27,27,1
8414582,1993,1996,27,27,1
8414584,1993,1993,27,27,1
8414585,1993,1993,27,27,1
8414586,1993,1993,27,27,1
8414587,1992,1993,27,27,1
8414588,1992,1994,27,27,1
8414589,1992,1993,20,20,1
8414590,1992,1993,26,26,1
8414591,1992,1993,26,26,1
8414592,1992,1993,26,26,1
8414593,1992,1994,26,26,1
8414594,1992,1993,21,21, 
8414595,1992,1994,21,21, 
8414596,1992,1996,28,28,1
8414597,1992,1996,28,28,1
8414598,1992,1993,29,29, 
8414599,1992,1993,29,29, 
8414600,1992,1993,29,29, 
8414801,1992,1996,27,27,1
8414802,1992,1993,27,27,1
8414803,1992,1993,27,27,1
8414804,1992,1993,27,27,1
8414805,1992,1994,27,27,1
8414806,1992,1998,27,27,1
8414807,1992,1994,27,27,1
8414808,1992,1994,27,27,1
8414809,1992,1993,27,27,1
8414810,1992,1994,27,27,1
8414811,1992,1993,28,28,1
8414812,1992,1999,28,28,1
8414813,1992,1995,28,28,1
8414814,1992,1994,29,29, 
8414815,1992,1994,29,29, 
8414816,1992,1994,29,29, 
8414817,1992,1993,29,29, 
8414818,1992,1993,29,29, 
8414819,1992,1994,29,29, 
8414820,1992,1996,29,29, 
8414821,1992,1993,29,29, 
8414822,1992,1993,29,29, 
8414823,1992,1997,29,28,1
8414824,1992,1993,29,29, 
8414825,1992,1994,29,29, 
8414826,1992,1996,29,29, 
8414827,1992,1993,29,29, 
8414828,1992,1994,29,28,1
8414829,1992,1996,29,29, 
8414830,1992,1996,29,28,1
8414831,1992,1993,29,28,1
8414832,1992,1997,29,29, 
8414833,1992,1994,29,29, 
8414834,1992,1994,29,29, 
8414835,1992,1993,29,29, 
8414836,1992,1994,29,28,1
8414837,1992,1995,29,29, 
8414838,1992,1993,29,28,1
8414839,1992,1993,29,29, 
8414840,1992,1995,29,29, 
8414841,1992,1996,29,28,1
8414842,1992,1994,29,29, 
8414843,1992,1994,29,29, 
8414844,1992,1993,29,29, 
8414845,1992,1997,29,29, 
8414846,1992,1994,26,26,1
8414847,1992,1993,26,26,1
8414848,1992,1993,26,26,1
8414849,1992,1994,26,26,1
8414850,1992,1994,26,26,1
8414851,1992,1994,26,26,1
8414852,1992,1993,26,26,1
8414853,1992,1997,26,26,1
8414854,1992,1993,26,26,1
8414855,1992,1996,26,26,1
8414856,1992,1996,26,26,1
8414857,1992,1993,26,26,1
8414858,1992,1994,26,26,1
8414859,1992,1993,26,26,1
8414860,1992,1993,26,26,1
8414861,1992,1995,26,26,1
8414862,1992,1998,26,26,1
8414863,1992,1993,26,26,1
8414864,1992,1993,26,26,1
8414865,1992,1993,26,26,1
8414866,1992,1994,26,26,1
8414867,1992,1993,26,26,1
8414868,1992,1997,26,26,1
8414869,1992,1993,26,26,1
8414870,1992,1996,26,26,1
8414871,1992,1993,26,26,1
8414872,1992,1993,26,26,1
8414873,1992,1995,26,26,1
8414874,1992,1993,30,30, 
8414875,1992,1993,30,30, 
8414876,1992,1995,21,21, 
8414877,1992,1993,21,21, 
8414878,1992,1993,21,21, 
8414879,1992,1997,21,21, 
8414880,1992,1996,21,21, 
8414881,1992,1993,31,31, 
8414882,1992,1993,31,31, 
8414883,1992,1993,31,31, 
8414884,1992,1993,31,31, 
8414885,1992,1993,31,31, 
8414886,1992,1993,31,31, 
8414887,1992,1993,31,31, 
8414888,1992,1993,29,29, 
8414889,1992,1993,29,29, 
8414890,1992,1994,29,29, 
8414891,1993,1993,27,27,1
8414892,1993,1995,27,27,1
8414893,1993,1993,27,27,1
8414894,1993,1997,27,28,1
8414895,1993,1993,27,27,1
8414896,1993,1993,27,27,1
8414897,1993,1993,27,27,1
8414898,1993,1993,27,27,1
8414899,1993,1993,27,27,1
8414900,1993,1993,27,27,1
8414901,1992,1993,27,27,1
8414902,1992,1993,27,27,1
8414903,1992,1993,27,27,1
8414904,1992,1993,27,27,1
8414905,1992,1994,27,20,1
8414906,1992,1993,27,27,1
8414907,1992,1993,27,27,1
8414908,1992,1993,27,27,1
8414909,1992,1993,27,27,1
8414910,1992,1996,27,27,1
8414911,1992,1996,27,27,1
8414912,1992,1994,27,20,1
8414913,1992,1996,27,27,1
8414914,1992,1993,27,27,1
8414915,1992,1995,27,27,1
8414916,1992,1993,27,27,1
8414917,1992,1994,27,27,1
8414918,1992,1994,27,27,1
8414919,1992,1995,27,27,1
8414920,1992,1993,27,27,1
8414921,1992,1993,27,27,1
8414922,1992,1993,27,27,1
8414923,1992,1994,27,27,1
8414924,1992,1993,27,27,1
8414925,1992,1993,27,27,1
8414926,1992,1993,27,27,1
8414927,1992,1993,27,27,1
8414928,1992,1997,27,21,1
8414929,1992,1994,27,27,1
8414930,1992,1996,27,27,1
8414931,1992,1994,27,27,1
8414932,1992,1994,27,27,1
8414933,1992,1996,27,27,1
8414934,1992,1993,27,27,1
8414935,1992,1996,27,27,1
8414936,1992,1994,27,27,1
8414937,1992,1994,27,27,1
8414938,1992,1995,27,27,1
8414939,1992,1993,27,27,1
8414940,1992,1993,27,27,1
8414941,1992,1993,27,27,1
8414942,1992,1995,27,27,1
8414943,1992,1996,27,27,1
8414944,1992,1993,27,27,1
8414945,1992,1994,27,27,1
8414946,1992,1994,27,27,1
8414947,1992,1993,27,27,1
8414948,1992,1995,27,27,1
8414949,1992,1993,27,27,1
8414950,1992,1997,27,27,1
8474772,2000,2000,27,27,1
8537601,1994,1994,28,28,1
8537602,1994,1998,29,29, 
8537603,1994,1994,29,29, 
8537604,1994,1994,26,26,1
8537605,1994,1997,29,29, 
8537606,1994,1994,29,29, 
8537607,1994,1994,26,26,1
8537608,1994,1994,26,26,1
8537609,1994,1996,26,36,1
8537610,1994,1995,26,26,1
8537611,1994,1994,26,26,1
8537612,1994,2000,26,26,1
8537613,1994,1994,26,26,1
8537614,1994,1994,26,26,1
8537615,1994,1995,27,27,1
8537616,1994,1994,27,27,1
8537617,1994,1996,27,27,1
8537619,1994,1996,29,29, 
8537620,1994,1995,29,29, 
8537621,1994,1994,29,29, 
8537622,1994,1994,29,29, 
8537623,1994,1996,29,29, 
8537624,1994,1994,29,29, 
