ID,ringnr,indnr,sex,island_current,adultSNPisland,hatchisland,hatchyear,year,month,day,age,tarsus,wing,billD,billL,mass,totalbadge,visiblebadge
1408,8L19661,978,1,23,24,24,2007,2008,6,27,1,19.31,81.07,8.05,13.64,28.7,19.9379036009306,17.2124954611468
1410,8L19688,979,1,24,23,23,2007,2010,5,28,3,19.65,80.07,7.98,12.74,29.7,20.8751047901561,17.4462030253004
1412,8L19693,980,2,23,23,23,2007,2009,6,16,2,20.28,78.85,8.02,13.88,35.7,-99,-99
1412,8L19693,980,2,23,23,23,2007,2010,6,27,3,19.91,79,8.58,14.43,31.5,-99,-99
1413,8L19722,981,2,28,28,28,2007,2008,6,17,1,19.6,78.43,8.38,13.83,30.9,-99,-99
1413,8L19722,981,2,28,28,28,2007,2008,6,17,1,19.81,77.03,8.25,13.85,30.9,-99,-99
1415,8L19728,982,2,26,26,26,2007,2008,6,28,1,18.29,79.43,8.25,15.24,30.5,-99,-99
1415,8L19728,982,2,26,26,26,2007,2009,6,11,2,18.42,79,7.89,15.59,31.4,-99,-99
1415,8L19728,982,2,26,26,26,2007,2009,8,3,2,18.43,78.03,8.29,14.9,33.3,-99,-99
1415,8L19728,982,2,26,26,26,2007,2010,8,2,3,18.38,77,8.08,14.75,30.5,-99,-99
1416,8L19729,983,1,26,26,26,2007,2008,6,24,1,16.96,78.43,7.8,13.39,28,19.5043584872715,16.7755774863341
1416,8L19729,983,1,26,26,26,2007,2008,6,24,1,16.76,78.86,7.88,13.49,28,19.8360782414267,17.1732349893664
1418,8L19813,984,1,27,27,27,2006,2007,6,15,1,19.1,81.03,7.89,13.88,31.7,16.491512968797,15.5650248955792
1418,8L19813,984,1,27,27,27,2006,2007,6,15,1,18.86,80.86,8.22,13.96,31.7,19.1198849368923,15.3905815354716
1418,8L19813,984,1,27,27,27,2006,2007,6,15,1,18.82,80.07,8.31,13.79,31.7,19.2839311344964,15.3905815354716
1418,8L19813,984,1,27,27,27,2006,2007,7,11,1,18.89,80.86,8.43,14.32,32,20.6801837516014,18.1416647527177
1418,8L19813,984,1,27,27,27,2006,2008,7,25,2,19.02,82.43,8.67,13.98,32.7,20.8966504492945,18.7874958416496
1418,8L19813,984,1,27,27,27,2006,2009,6,17,3,18.89,81.43,8.35,13.8,31.2,20.8319466205153,17.6258333136337
1418,8L19813,984,1,27,27,27,2006,2009,7,1,3,18.82,81.43,8.61,13.96,30.5,19.5043584872715,16.5459964946207
1418,8L19813,984,1,27,27,27,2006,2009,7,7,3,18.74,-99,8.38,14.15,-99,-99,-99
1418,8L19813,984,1,27,27,27,2006,2009,7,24,3,18.56,79.03,8.24,13.8,32.5,18.8592152540873,16.1328856687203
1419,8L19825,985,2,26,26,26,2006,2007,6,19,1,19.5,79,8.29,14.63,33.5,-99,-99
1419,8L19825,985,2,26,26,26,2006,2007,6,25,1,-99,79,7.62,14.34,30.5,-99,-99
1419,8L19825,985,2,26,26,26,2006,2008,6,24,2,-99,80.43,8.28,14.38,31.2,-99,-99
1420,8L19830,986,1,27,27,27,2007,2008,7,23,1,19.18,80.38,8.95,14.29,32.4,21.1215529732072,19.2839311344964
1421,8L19835,987,1,27,27,27,2007,2008,8,14,1,20.26,79.43,8.21,13.87,35.8,20.5929599620841,15.3613150478727
1421,8L19835,987,1,27,27,27,2007,2010,6,20,3,20.46,80,8.11,14.03,32.2,20.0167429918056,16.9755706826015
1421,8L19835,987,1,27,27,27,2007,2010,6,20,3,20.36,79,8.3,13.84,32.2,21.2172099956615,18.3757993023433
1421,8L19835,987,1,27,27,27,2007,2010,6,20,3,20.33,80,8.21,13.94,32.2,20.5382569854406,18.0919871766481
1421,8L19835,987,1,27,27,27,2007,2010,7,26,3,20.51,78.43,8.45,13.86,32,20.1511786255792,16.7755774863341
1421,8L19835,987,1,27,27,27,2007,2011,5,13,4,20.32,81.71,8.52,14.12,32.4,20.8319466205153,15.3905815354716
1421,8L19835,987,1,27,27,27,2007,2012,8,3,5,-99,-99,8.44,13.87,31.1,-99,-99
1422,8L19839,988,2,27,27,27,2007,2008,8,5,1,18.95,80.38,8.59,13.75,31.5,-99,-99
1424,8L19858,989,1,38,38,38,2007,2008,6,25,1,19.3,81.86,8.75,14.5,29.4,19.8360782414267,17.2124954611468
1424,8L19858,989,1,38,38,38,2007,2008,6,25,1,19.71,82.43,8.49,14.67,29.3,19.6308430791956,16.0770022081233
1425,8L19860,990,1,38,38,38,2007,2008,6,21,1,20.49,81.43,8.41,15.65,31.3,19.5158909609579,14.7332956258944
1425,8L19860,990,1,38,38,38,2007,2008,7,9,1,20.56,81.38,8.57,14.54,30.2,20.7670411951245,16.3682619724881
