IID FROH FGRM gen_het pruned_gen_het adsex fiflok laflok hatchyear presumedhatchyear firstyear lastyear minadyear maxadyear age1tarsus age1wing age1billD age1billL age1mass age1totba age1visba
8651870 0.0768967580217594 0.107057 0.301764458138452 0.299939869746013 2 27 27 NA 1996 1996 2000 1997 2000 NA NA NA NA NA NA NA
8651875 0.122261891449298 0.163129 0.270757364803642 0.280625469651044 2 27 27 NA 1996 1996 1998 1997 1998 NA NA NA NA NA NA NA
8651876 0.00861391741651781 0.0185356 0.334322990948795 0.334514384525404 1 27 27 NA 1996 1996 1998 1997 1998 NA NA NA NA NA NA NA
8651878 0.00254740057250926 0.0203375 0.332325233582967 0.335725307991332 2 26 26 NA 1996 1996 2000 1997 2000 NA NA NA NA NA NA NA
8651881 0.105270257403984 0.123551 0.301227369850761 0.303540091792657 2 26 26 NA 1996 1996 1999 1997 1999 NA NA NA NA NA NA NA
8651882 0.00692685482057627 0.0096218 0.342484807338842 0.341195021586616 2 26 26 NA 1996 1996 1998 1997 1998 NA NA NA NA NA NA NA
8651883 0 0.0299814 0.324408499244893 0.332026364711847 1 26 26 NA 1996 1996 1999 1997 1999 NA NA NA NA NA NA NA
8651884 0.00503085378255208 0.0159241 0.343196507321489 0.339600846535864 1 20 20 NA 1996 1996 1999 1997 1999 NA NA NA NA NA NA NA
8651898 0 -0.000668151 0.341272642719872 0.341508707372385 2 28 28 NA 1996 1996 1999 1997 1999 NA NA NA NA NA NA NA
8651899 0.00280146289702977 0.0175575 0.335700715737386 0.338305645317786 1 27 27 NA 1996 1996 2000 1997 2000 NA NA NA NA NA NA NA
8651927 0.00282875803618852 0.00981208 0.34290728864261 0.342073756808256 2 26 26 NA 1996 1996 1998 1997 1998 NA NA NA NA NA NA NA
8651948 0.00939400965156995 0.0188484 0.341092843700503 0.338296293798267 1 27 27 NA 1996 1996 1999 1997 1999 NA NA NA NA NA NA NA
